"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1A042.2-29_1-P039 ROOM TEMP","","5 minutes"
"Point_2:","1AHU140.RM166.RMH","","5 minutes"
"Point_3:","","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","20:45:00","21.3","48.5","15.4"
"4/6/2026","20:50:00","21.3","47.5","14.9"
"4/6/2026","20:55:00","21.5","46.7","15.1"
"4/6/2026","21:00:00","21.8","46.3","13.8"
"4/6/2026","21:05:00","21.7","47.0","14.5"
"4/6/2026","21:10:00","21.2","48.1","14.1"
"4/6/2026","21:15:00","21.5","47.0","15.1"
"4/6/2026","21:20:00","21.7","46.5","14.7"
"4/6/2026","21:25:00","21.9","46.1","14.6"
"4/6/2026","21:30:00","21.3","48.4","15.2"
"4/6/2026","21:35:00","21.5","47.2","15.3"
"4/6/2026","21:40:00","21.7","46.6","15.0"
"4/6/2026","21:45:00","21.9","46.1","14.1"
"4/6/2026","21:50:00","21.3","48.6","15.6"
"4/6/2026","21:55:00","21.4","47.4","14.9"
"4/6/2026","22:00:00","21.7","46.8","14.3"
"4/6/2026","22:05:00","21.9","46.3","14.7"
"4/6/2026","22:10:00","21.4","48.8","15.3"
"4/6/2026","22:15:00","21.4","47.1","15.0"
"4/6/2026","22:20:00","21.6","46.8","14.9"
"4/6/2026","22:25:00","21.8","46.6","15.3"
"4/6/2026","22:30:00","21.6","48.0","15.2"
"4/6/2026","22:35:00","21.3","47.9","15.3"
"4/6/2026","22:40:00","21.5","46.7","14.8"
"4/6/2026","22:45:00","21.8","46.6","15.4"
"4/6/2026","22:50:00","21.9","46.6","14.8"
"4/6/2026","22:55:00","21.4","48.6","15.0"
"4/6/2026","23:00:00","21.5","47.3","15.3"
"4/6/2026","23:05:00","21.8","46.8","15.1"
"4/6/2026","23:10:00","21.8","47.4","14.4"
"4/6/2026","23:15:00","21.3","48.2","15.3"
"4/6/2026","23:20:00","21.5","46.8","15.7"
"4/6/2026","23:25:00","21.8","46.8","15.3"
"4/6/2026","23:30:00","21.8","47.0","15.1"
"4/6/2026","23:35:00","21.4","48.5","15.5"
"4/6/2026","23:40:00","21.6","47.5","15.0"
"4/6/2026","23:45:00","21.9","46.8","14.8"
"4/6/2026","23:50:00","21.6","48.4","15.6"
"4/6/2026","23:55:00","21.4","47.8","14.6"
 " ******************************** End of Report *********************************"
